"LotFrontage","LotArea","Neighborhood","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","TotRmsAbvGrd","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscFeature","MiscVal","SalePrice","MSSub20","MSSub60","MSSub50","MSSub120","MSSub30","MSSub160","MSSub70","MSSub80","MSSub90","MSZRL","MSZRM","MSZFV","STR","ALLGRVL","ALLPAVE","LOTSHREG","LOTSHIR1","LOTSHIR2","LNDCNTRLVL","LNDCNTRBNK","LNDCNTRHLS","UTILALL","LOTCFGIN","LOTCFGCRN","LOTCFGCUL","LOTCFGFR","SLOPEGTL","SLOPEMOD","COND1NORM","COND1FEED","COND1ART","COND2NORM","COND2FEED","COND2ART","BTP1FAM","BTPTHE","BTPDUP","BTPTH","ROOFGBL","ROOFHIP","ROOFM","X1VYNL","X1HDBRD","X1MTLSD","X1WDSD","X1PLY","X1CEMBD","X1BRKF","X1WDSHNG","X1STCO","X1ASBSHNG","X2VYNL","X2HDBRD","X2MTLSD","X2WDSD","X2PLY","X2CEMBD","X2BRKF","X2WDSHNG","X2STCO","X2ASBSHNG","MASVNONE","MASVBRKF","MASVST","XQAVG","XQGD","XQEX","XCOAVG","XCOGD","XCOFA","FOUNDPC","FOUNDCB","FOUNDBRTL","FOUNDSLB","BQUALAVG","BQUALGD","BQUALEX","BQUALFA","BCONAVG","BCONGD","BCONFA","BMEXNO","BMEXAVG","BMEXGD","BMEXMN","BFT1UNF","BFT1GLQ","BFT1ALQ","BFT1BLQ","BFT1REC","BFT1LOW","BFT2UNF","BFT2BLQ","BFT2REC","BFT2LOW","HEATGASA","HQCEX","HQTA","HQGD","HQFA","CENTAIRY","ELECSB","ELECFA","ELECFF","KITCHQTA","KITCHQGD","KITCHQEX","KITCHQFA","FUNCTYP","FUNCMN2","FUNCMN1","FPQNONE","FPQGD","FPQTA","FPQFA","FPQEX","GTYPATTCH","GTYDET","GTYBI","GFINUNF","GRFINRFN","GRFINFIN","GQUALTA","GQUALFA","GARCOTA","GARCOFA","PAVDRV","MSJUN","MSJUL","MSMAY","MSAPR","MSAUG","MSMAR","MSOCT","MSNOV","MSSEPT","MSDEC","MSJAN","SLTYPWD","SLTYPNEW","SLTYPCOD","SLCONDNORM","SLCONDPART","SLCONDAB","OAQUAL2","OAQUAL3","OAQUAL4","OAQUAL5","OAQUAL6","OAQUAL7","OAQUAL8","OAQUAL9","OAQUAL10","OACOND2","OACOND3","OACOND4","OACOND5","OACOND6","OACOND7","OACOND8","OACOND9","OACOND10","YB30","YB40","YB50","YB60","YB70","YB80","YB90","YB00","YB10","YRM60","YRM70","YRM80","YRM90","YRM00","YRM10","BMFB1","BMFB2","BMHB1","BMHB2","FB1","FB2","FB3","HB1","HB2","BRAG1","BRAG2","BRAG3","BRAG4","KAG1","KAG2","FRPL1","FRPL2","GARYBOLD","GARYBMED","GARYBNEW","YRSOLD2007","YRSOLD2008","YRSOLD2009","YRSOLD2010"
70,9.32375833901174,"Sawyer",0,906,0,134,1040,6.94793706861497,0,0,6.94793706861497,5,1,384,0,0,0,0,0,0,0,0,0,11.7714438820996,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
85,9.38639231575654,"NridgHt",286,998,0,177,1175,7.07580886397839,1142,0,7.75147531802146,11,3,736,147,21,0,0,0,0,0,0,0,12.75130259456,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,9.47031717333574,"Sawyer",0,737,0,175,912,6.81673588059497,0,0,6.81673588059497,4,1,352,140,0,0,0,176,0,0,0,0,11.8775755229785,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
91,9.2735968216112,"CollgCr",306,0,0,1494,1494,7.30988148582479,0,0,7.30988148582479,7,3,840,160,33,0,0,0,0,0,0,0,12.5407611493884,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,9.29844282019773,"NAmes",212,733,0,520,1253,7.13409372119287,0,0,7.13409372119287,5,1,352,0,213,176,0,0,0,1,0,0,11.9640074537369,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
51,8.71948076085107,"BrkSide",0,0,0,832,832,6.75110146893676,0,0,6.75110146893676,5,2,576,48,112,0,0,0,0,1,0,0,11.7905647772974,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,9.32741204356202,"NAmes",180,578,0,426,1004,6.91274282049318,0,0,6.91274282049318,5,2,480,0,0,0,0,0,0,0,1,700,11.9117082963145,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
72,9.28656039788759,"Sawyer",0,0,0,0,0,7.16780918431644,0,0,7.16780918431644,6,2,516,0,0,0,0,0,0,0,1,500,11.4075760603618,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
66,9.52485909838152,"SawyerW",0,646,0,468,1114,7.01660968389422,0,0,7.01660968389422,6,2,576,0,102,0,0,0,0,0,0,0,11.9766657704908,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
70,8.93075873555827,"NAmes",0,504,0,525,1029,7.20042489294496,0,0,7.20042489294496,6,1,294,0,0,0,0,0,0,1,0,0,11.8422364063316,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
101,9.56212336983449,"NridgHt",380,0,0,1158,1158,7.05531284333975,1218,0,7.77359446736019,9,3,853,240,154,0,0,0,0,0,0,0,12.6925061865422,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
57,8.9159693113736,"IDOTRR",0,0,0,637,637,7.01121398735037,0,0,7.01121398735037,6,1,280,0,0,205,0,0,0,1,0,0,11.845109950884,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
